Số TT,Mã MH,Tên MH (VN),Tên MH (EN),Còn mở lớp,Đơn vị quản lý,Loại MH,Mã cũ,Mã tương đương,Mã tiên quyết,Mã môn học trước,Số TCLT,Số TCTH
1007,SS008,Kinh tế chính trị Mác – Lênin,Political Economics of Marxism and Leninism,Đang mở,PĐTĐH,LLCT,,,,,2,0
1008,SS009,Chủ nghĩa xã hội khoa học,Scientific Socialism,Đang mở,PĐTĐH,LLCT,,,,,2,0
1009,SS010,Lịch sử Đảng Cộng sản Việt Nam,History of Vietnamese Communist Party,Đang mở,PĐTĐH,LLCT,,,,,2,0
1010,SSKL1,Kỹ năng mềm,Soft skills,Đang mở,P.ĐTĐH,ĐC,,,,,2,0
1011,STA01,Xác suất thống kê,Statistics,Đang mở,BMAV,ĐC,,MA005,,,3,0
1012,STAT11,Xác xuất thống kê,Statistics,Đang mở,HTTT,ĐC,,,,,3,0
1013,STAT3013,Phân tích thống kê,Intermediate Statistical Analysis,Đang mở,HTTT,CS,,,,STAT4033,3,0
1014,STAT4033,Thống kê,Statistics,Đang mở,HTTT,ĐC,,,,MATH3013,3,0
1015,THU086,Đào tạo năng lực thông tin,Information Literacy Training,Đang mở,PĐTĐH,CN,,,,,2,0
1016,THU107,Truyền thông xã hội trong các tổ chức,Social Media in Organizations,Đang mở,PĐTĐH,CN,,,,,2,0
1017,TLH025,Tâm lý học nhân cách,Personality Psychology,Đang mở,PĐTĐH,CN,,,,,3,0
1018,TOEIC 450,TOEIC 450,TOEIC 450,Đang mở,TTNN,ĐC,,,,,0,0
1019,TOEIC450,TOEIC 450,TOEIC 450,Đang mở,TTNN,ĐC,,,,,0,0
1020,VCPH1,Lịch sử Đảng CSVN,History of the Communist Party of Vietnam,Đang mở,P.ĐTĐH,ĐC,,,,,3,0
1021,VCPL1,Đường lối cách mạng của Đảng CSVN,Revolution Directions of Vietnam Communist Party,Đang mở,TTNN,ĐC,,SS002,,,3,0
1022,WINP1,Lập trình trên Windows,Windows Programming,Đang mở,CNPM,ĐC,,IT008,,,3,1
